district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct,county_fips,county
,"Adams County, Pennsylvania",0500000US42001,106112,85479,103912,83375,83375,299,2020-2024 ACS CVAP,17,0.02,0.02,367,0.44,0.44,1279,1.53,1.53,10,0.01,0.01,76551,91.82,91.82,962,1.15,1.15,4192,5.03,5.03,001,Adams
,"Allegheny County, Pennsylvania",0500000US42003,1238180,1007947,1197435,971813,971813,1475,2020-2024 ACS CVAP,452,0.05,0.05,23994,2.47,2.47,113007,11.63,11.63,165,0.02,0.02,791481,81.44,81.44,20724,2.13,2.13,21977,2.26,2.26,003,Allegheny
,"Armstrong County, Pennsylvania",0500000US42005,64623,52399,64345,52146,52146,100,2020-2024 ACS CVAP,9,0.02,0.02,120,0.23,0.23,441,0.85,0.85,1,0.0,0.0,50782,97.38,97.38,442,0.85,0.85,352,0.68,0.68,005,Armstrong
,"Beaver County, Pennsylvania",0500000US42007,166325,134100,165299,133101,133101,310,2020-2024 ACS CVAP,39,0.03,0.03,564,0.42,0.42,7623,5.73,5.73,10,0.01,0.01,120392,90.45,90.45,2105,1.58,1.58,2373,1.78,1.78,007,Beaver
,"Bedford County, Pennsylvania",0500000US42009,47513,38283,47261,38027,38027,69,2020-2024 ACS CVAP,21,0.06,0.06,114,0.3,0.3,211,0.55,0.55,0,0.0,0.0,37032,97.38,97.38,329,0.87,0.87,311,0.82,0.82,009,Bedford
,"Berks County, Pennsylvania",0500000US42011,433015,337873,412550,320044,320044,1323,2020-2024 ACS CVAP,201,0.06,0.06,3643,1.14,1.14,12677,3.96,3.96,86,0.03,0.03,243123,75.97,75.97,4997,1.56,1.56,55321,17.29,17.29,011,Berks
,"Blair County, Pennsylvania",0500000US42013,121276,96862,120297,95997,95997,209,2020-2024 ACS CVAP,35,0.04,0.04,407,0.42,0.42,1702,1.77,1.77,4,0.0,0.0,91468,95.28,95.28,1207,1.26,1.26,1173,1.22,1.22,013,Blair
,"Bradford County, Pennsylvania",0500000US42015,59856,46610,59470,46328,46328,82,2020-2024 ACS CVAP,38,0.08,0.08,181,0.39,0.39,243,0.52,0.52,1,0.0,0.0,44616,96.3,96.3,649,1.4,1.4,601,1.3,1.3,015,Bradford
,"Bucks County, Pennsylvania",0500000US42017,647461,518471,624752,498595,498595,1226,2020-2024 ACS CVAP,292,0.06,0.06,19412,3.89,3.89,18076,3.63,3.63,59,0.01,0.01,427416,85.72,85.72,9503,1.91,1.91,23843,4.78,4.78,017,Bucks
,"Butler County, Pennsylvania",0500000US42019,197253,159272,195081,157272,157272,303,2020-2024 ACS CVAP,45,0.03,0.03,1171,0.74,0.74,1557,0.99,0.99,21,0.01,0.01,150083,95.43,95.43,2001,1.27,1.27,2397,1.52,1.52,019,Butler
,"Cambria County, Pennsylvania",0500000US42021,131541,106276,130934,105774,105774,144,2020-2024 ACS CVAP,55,0.05,0.05,436,0.41,0.41,2610,2.47,2.47,5,0.0,0.0,98739,93.35,93.35,2114,2.0,2.0,1810,1.71,1.71,021,Cambria
,"Cameron County, Pennsylvania",0500000US42023,4427,3684,4423,3672,3672,33,2020-2024 ACS CVAP,14,0.38,0.38,17,0.46,0.46,1,0.03,0.03,45,1.23,1.23,3500,95.32,95.32,81,2.21,2.21,21,0.57,0.57,023,Cameron
,"Carbon County, Pennsylvania",0500000US42025,65383,53006,64732,52421,52421,168,2020-2024 ACS CVAP,19,0.04,0.04,280,0.53,0.53,867,1.65,1.65,0,0.0,0.0,47950,91.47,91.47,598,1.14,1.14,2700,5.15,5.15,025,Carbon
,"Centre County, Pennsylvania",0500000US42027,158576,135344,150327,127413,127413,831,2020-2024 ACS CVAP,269,0.21,0.21,3688,2.89,2.89,4107,3.22,3.22,17,0.01,0.01,111956,87.87,87.87,3147,2.47,2.47,4251,3.34,3.34,027,Centre
,"Chester County, Pennsylvania",0500000US42029,547837,427395,520698,403082,403082,1377,2020-2024 ACS CVAP,115,0.03,0.03,15246,3.78,3.78,21373,5.3,5.3,137,0.03,0.03,334306,82.94,82.94,8767,2.17,2.17,23141,5.74,5.74,029,Chester
,"Clarion County, Pennsylvania",0500000US42031,37180,30122,36981,29978,29978,94,2020-2024 ACS CVAP,6,0.02,0.02,156,0.52,0.52,406,1.35,1.35,0,0.0,0.0,28852,96.24,96.24,315,1.05,1.05,256,0.85,0.85,031,Clarion
,"Clearfield County, Pennsylvania",0500000US42033,78633,64300,77559,63271,63271,221,2020-2024 ACS CVAP,11,0.02,0.02,270,0.43,0.43,1400,2.21,2.21,15,0.02,0.02,59428,93.93,93.93,659,1.04,1.04,1486,2.35,2.35,033,Clearfield
,"Clinton County, Pennsylvania",0500000US42035,37798,30179,37577,29961,29961,112,2020-2024 ACS CVAP,18,0.06,0.06,138,0.46,0.46,277,0.92,0.92,1,0.0,0.0,28646,95.61,95.61,422,1.41,1.41,454,1.52,1.52,035,Clinton
,"Columbia County, Pennsylvania",0500000US42037,65365,53877,64797,53402,53402,193,2020-2024 ACS CVAP,15,0.03,0.03,334,0.63,0.63,889,1.66,1.66,161,0.3,0.3,49833,93.32,93.32,566,1.06,1.06,1609,3.01,3.01,037,Columbia
,"Crawford County, Pennsylvania",0500000US42039,82715,65710,82369,65378,65378,104,2020-2024 ACS CVAP,22,0.03,0.03,207,0.32,0.32,921,1.41,1.41,23,0.04,0.04,62475,95.56,95.56,941,1.44,1.44,794,1.21,1.21,039,Crawford
,"Cumberland County, Pennsylvania",0500000US42041,268322,213395,259035,205439,205439,713,2020-2024 ACS CVAP,48,0.02,0.02,7149,3.48,3.48,7926,3.86,3.86,0,0.0,0.0,177534,86.42,86.42,4517,2.2,2.2,8262,4.02,4.02,041,Cumberland
,"Dauphin County, Pennsylvania",0500000US42043,289594,224873,276271,213089,213089,1313,2020-2024 ACS CVAP,134,0.06,0.06,9290,4.36,4.36,32831,15.41,15.41,56,0.03,0.03,147746,69.34,69.34,5619,2.64,2.64,17419,8.17,8.17,043,Dauphin
,"Delaware County, Pennsylvania",0500000US42045,579222,451642,555102,430723,430723,1470,2020-2024 ACS CVAP,167,0.04,0.04,21143,4.91,4.91,87933,20.42,20.42,138,0.03,0.03,297089,68.97,68.97,9000,2.09,2.09,15255,3.54,3.54,045,Delaware
