countyfp,vtd20,current_countyfp,current_vtd,current_precinct_norm,weight,method
001,000010,001,001010,ADAMS - 001010,1.000000000000,vtd20_identity
001,000020,001,001020,ADAMS - 001020,1.000000000000,vtd20_identity
001,000030,001,001030,ADAMS - 001030,1.000000000000,vtd20_identity
001,000040,001,001260,ADAMS - 001260,0.020408163265,census_block_count
001,000040,001,001040,ADAMS - 001040,0.959183673469,census_block_count
001,000040,001,001010,ADAMS - 001010,0.020408163265,census_block_count
001,000050,001,001050,ADAMS - 001050,1.000000000000,vtd20_identity
001,000060,001,001060,ADAMS - 001060,1.000000000000,vtd20_identity
001,000070,001,001070,ADAMS - 001070,1.000000000000,vtd20_identity
001,000078,001,001320,ADAMS - 001320,0.016129032258,census_block_count
001,000078,001,001080,ADAMS - 001080,0.983870967742,census_block_count
001,000082,001,001080,ADAMS - 001080,1.000000000000,vtd20_identity
001,000090,001,001090,ADAMS - 001090,1.000000000000,vtd20_identity
001,000100,001,001100,ADAMS - 001100,1.000000000000,vtd20_identity
001,000110,001,001110,ADAMS - 001110,1.000000000000,vtd20_identity
001,000120,001,001120,ADAMS - 001120,1.000000000000,vtd20_identity
001,000130,001,001130,ADAMS - 001130,1.000000000000,vtd20_identity
001,000140,001,001140,ADAMS - 001140,1.000000000000,vtd20_identity
001,000150,001,001150,ADAMS - 001150,1.000000000000,vtd20_identity
001,000160,001,001160,ADAMS - 001160,1.000000000000,vtd20_identity
001,000170,001,001170,ADAMS - 001170,1.000000000000,vtd20_identity
001,000180,001,001180,ADAMS - 001180,1.000000000000,vtd20_identity
001,000190,001,001190,ADAMS - 001190,1.000000000000,vtd20_identity
001,000200,001,001200,ADAMS - 001200,1.000000000000,vtd20_identity
001,000210,001,001120,ADAMS - 001120,0.011111111111,census_block_count
001,000210,001,001250,ADAMS - 001250,0.011111111111,census_block_count
001,000210,001,001220,ADAMS - 001220,0.633333333333,census_block_count
001,000210,001,001210,ADAMS - 001210,0.344444444444,census_block_count
001,000230,001,001230,ADAMS - 001230,1.000000000000,vtd20_identity
001,000240,001,001120,ADAMS - 001120,0.025641025641,census_block_count
